block,n_parcels,median_net_value,mean_net_value,p25_net_value,p75_net_value
39.01,42,357450,622233,317100,560475
39.02,26,641300,885900,534300,1030525
269.01,21,819100,1211719,754600,1147200
269.02,13,673200,733961,636300,760700
269.03,7,668000,680757,644600,736100
69.01,1,437200,437200,437200,437200
144.02,15,587400,839853,529300,1093300
190.01,2,24800,24800,22300,27300
191.01,30,952100,921373,826800,985100
41.01,27,571300,771033,406900,925500
41.02,12,476450,1172700,408425,617675
179.01,1,773200,773200,773200,773200
144.01,22,767100,789968,496150,1023375
168.01,24,965950,878779,295725,1223950
168.02,3,967100,2864800,515400,7111900
40.01,21,649300,895952,545750,871750
40.02,24,793000,916075,515225,1194100
200.02,10,764050,1215840,599650,1614675
60.01,11,677000,679772,388900,809300
60.02,14,688450,739157,599775,874875
61.01,16,724750,866393,581675,882675
188.01,1,1155000,1155000,1155000,1155000
31.01,1,600000,600000,600000,600000
32.01,6,810150,1027616,515400,1448150
260.01,41,581100,716751,534600,632500
260.02,16,604750,1182381,535850,843150
204.01,37,596900,783540,540150,794550
268.01,1,9360000,9360000,9360000,9360000
276.01,16,604000,622562,576425,670750
61.02,18,667950,994877,573125,969750
191.02,1,188000000,188000000,188000000,188000000
7,37,648600,686137,553450,770500
8,49,399300,447377,249000,585000
9,73,434600,570075,382750,624450
10,42,214000,480257,184850,753500
12,32,540450,573321,480600,623200
13,51,273200,440243,235300,623600
14,25,651000,593140,360900,751450
15,24,731100,788975,595500,893400
16,36,406800,634963,336475,770475
18,2,1814900,1814900,694400,2935400
19,8,872100,924812,608300,1222400
20,3,514000,742000,303700,1408300
21,32,565550,530737,292825,652125
22,309,305200,281478,192050,353300
23,21,602300,635666,467750,773650
24,32,672900,773453,525625,783900
25,32,571100,713243,494275,618125
26,48,530750,608135,344725,692875
27,55,489600,552090,371700,675200
28,32,604700,571634,323425,718350
30,24,607400,923387,522550,1093725
31,19,725300,823910,564100,1131600
32,1,1851500,1851500,1851500,1851500
33,25,603300,790344,538300,826450
35,27,657600,657133,483500,787200
36,24,659600,737125,547225,796075
37,24,989750,1141595,733575,1548900
38,38,660750,823710,633425,700250
42,57,639300,776601,437450,888000
43,36,672300,790641,202300,988375
44,13,983600,1019476,671350,1274350
45,23,736600,1154552,610200,1064000
46,36,652600,604455,354025,788875
47,21,734900,798776,578000,862300
48,21,749500,1009433,625450,1184700
49,32,605750,596128,476825,683225
50,32,578950,918337,537900,854250
51,28,623350,862350,512525,1270425
52,21,614700,784700,534550,709350
53,26,704150,782465,578275,860900
54,26,701050,740684,560975,826125
55,34,632400,634170,570500,718450
56,20,646350,789225,570625,859550
57,20,762100,899775,577650,1077475
58,32,648850,984468,602500,912450
59,73,511500,511972,285250,685250
62,25,591800,814212,370950,704200
63,33,590700,569330,209800,710850
64,26,585200,702769,199800,881225
65,20,650450,737880,597825,809250
66,20,532500,828385,307100,667700
67,24,631450,738908,512075,743700
68,25,602700,644532,540150,759650
69,27,686700,812285,625300,768900
70,21,615800,696423,546850,827150
71,32,584800,593884,450725,682850
72,17,635500,756935,558800,859150
73,25,702700,845932,597900,930950
74,23,597900,1045678,545400,653100
75,12,574800,586791,516900,647525
76,9,848200,1353100,516250,2253500
77,14,657600,664735,614575,705000
78,25,678100,680092,574750,817000
79,28,697400,726425,608325,817300
80,27,684900,788518,563700,737400
81,12,682600,810491,588425,1102525
82,28,658100,670050,600225,715975
83,9,719900,768088,528800,964100
84,32,296800,377468,208400,570175
85,25,572700,635896,510500,734100
86,28,709400,758750,549325,929425
87,23,745600,875408,604200,896500
88,30,530700,727756,271700,626275
89,49,414500,585477,310050,721650
90,22,614100,1123504,532650,1159875
91,28,669300,668617,350925,898700
92,35,634100,746042,574900,810500
93,44,632900,680534,230600,765425
94,29,706100,791689,606500,897650
95,79,298900,441351,211500,676400
96,37,620600,629186,568300,691500
97,28,699150,697596,617750,725325
98,27,707700,718507,569100,890300
99,26,602900,553292,238050,728650
100,18,654100,669255,526625,809750
101,38,664150,655671,565200,734500
102,24,818750,859808,608450,978575
103,26,718450,937773,560400,1170875
104,47,556500,580797,518100,615700
105,28,626500,761460,571050,692425
106,22,627700,1326050,550075,986575
107,27,631100,727737,515400,800000
108,44,463700,589972,441400,475075
109,28,756400,1053867,648475,1045575
110,35,929400,1142605,702000,1275600
111,38,643300,727607,514700,800375
112,26,712150,704507,618925,741825
113,24,771500,920725,639850,1183050
114,28,736500,851528,574000,1179325
115,24,600900,746800,574050,953850
116,33,662800,810587,579100,965350
117,117,382900,465917,263950,501650
118,14,1281950,1602771,515400,2434575
119,4,594500,812925,539250,1305025
120,14,756100,1322514,371225,1544900
121,24,806550,1008187,613100,1200250
122,11,840200,3147954,639800,1648900
123,4,1774000,8856275,1256900,23537925
124,20,783150,950975,655250,1170175
125,27,665500,638162,488600,752400
127,25,812500,911616,712050,951300
128,29,598300,714451,566200,736750
129,9,604200,735666,499950,1018250
130,34,622350,805741,544600,880300
131,35,610000,632577,477600,688400
132,6,964700,1183866,538200,1816200
135,33,628200,795375,531850,753050
136,20,589300,754745,408650,895525
137,26,563550,865715,448175,773600
138,25,791700,839616,584700,1063900
139,32,693400,660296,576300,722825
140,28,682500,677050,599300,754525
141,18,884450,878566,602975,1230525
142,34,671550,741808,360300,981375
143,23,525300,694513,350400,790600
146,23,668500,970152,553800,1093200
147,25,646100,868636,578200,747450
148,39,892000,971589,635100,1036600
149,15,766100,854420,584200,926400
150,36,624900,622063,449550,748450
151,24,630950,657604,593400,725700
152,28,1033000,1137028,784675,1306675
154,42,702150,757166,586200,810275
155,33,788200,997972,575300,1328550
156,25,559800,568960,185600,804000
157,26,642950,991061,521325,1014300
158,37,149900,375424,136100,434700
159,8,782700,1027862,571300,1208150
160,55,483500,555685,435200,738000
161,51,560100,719031,474900,852700
162,33,584400,688754,530750,764350
169,6,667100,864400,636475,1018125
170,26,750200,1571730,579200,1390575
171,20,603600,1048200,443075,866350
172,41,470300,639526,409100,549250
173,6,491100,4746416,302375,8390450
174,32,624150,839075,515900,798875
175,99,617300,645847,469000,687500
176,23,568000,591565,285900,812700
177,20,483250,515415,441825,619675
178,24,618500,667054,502050,812650
179,76,467900,558785,251150,783500
180,30,618900,720853,265300,808775
181,42,546250,910102,19300,693025
182,7,1111800,1235100,833300,1825200
183,3,769300,40094900,515400,119000000
184,13,1019900,934407,512100,1181200
185,36,302150,492741,111550,781425
186,52,671450,1037175,466525,945475
190,31,672600,1213545,575800,758100
192,3,716500,716500,716500,716500
193,61,173100,665524,172000,270800
194,35,549300,642797,300300,843600
195,13,668700,720615,552000,924700
196,1,1545200,1545200,1545200,1545200
197,137,234800,443468,224500,253750
198,7,648200,1358214,495400,814100
199,17,900200,1253876,724600,1805800
200,11,643400,1235890,507000,1091000
201,37,286700,295297,213400,303050
202,286,366550,463650,271700,490925
203,19,806200,2929952,598600,1961400
204,18,637050,892988,591550,907100
205,16,950200,1044968,666425,1225600
206,11,725400,1020345,639900,957800
207,8,641750,718237,503700,882750
208,40,679400,715017,571800,743075
209,25,582900,818592,532250,730050
210,10,730100,780450,576750,948525
211,13,947800,1049915,669950,1357500
212,103,466800,495711,13700,680300
213,17,731000,1869600,614100,1083650
214,22,700600,970563,420125,888525
215,32,595500,859578,562900,903300
216,29,358900,661596,291800,714100
217,59,545400,1048659,359000,672500
218,25,606000,971192,518100,913750
219,80,515500,673080,395575,650500
220,16,1002800,1384643,639975,1511850
221,17,672700,725317,565650,871450
222,5,541700,759640,489350,1138900
223,107,420600,481090,264000,571200
224,39,698600,952069,412100,1174200
225,15,650400,2185733,489700,3212500
226,45,357600,559806,321000,758400
227,34,512700,468061,233000,665725
228,19,663000,710010,595500,784500
229,25,708300,1444528,606250,1209500
230,3,3550500,3017133,1937600,3563300
231,2,868850,868850,549700,1188000
232,22,602800,609354,494400,702550
233,35,446700,532282,205900,732900
234,51,669000,850725,541200,878100
235,22,577750,890545,521650,771025
236,26,661850,661296,517900,757600
237,20,681250,865560,638225,955425
238,36,619400,583086,475250,717200
239,42,648100,894633,572175,932600
240,25,596700,692396,516350,700400
241,27,684700,705166,593800,756900
242,16,651100,858131,502175,792075
243,66,419900,535013,356200,688950
244,34,651800,853273,529275,939025
245,19,739800,960910,637600,1130900
246,33,582600,703721,252950,974600
247,17,621900,695235,561250,931400
248,29,689500,1118189,544500,807400
249,39,466500,576835,210700,610900
250,14,1078100,1299271,542900,2033050
251,20,656450,653745,550725,683650
252,74,290450,308136,183050,359000
253,235,371000,443000,22700,476200
254,42,675450,846150,573875,1063600
255,35,600700,895157,522100,951900
256,21,794300,1107852,676300,1155050
257,18,832150,1294872,626275,2002150
258,69,282000,391117,221600,619600
259,54,341300,445027,23200,483600
260,106,550650,558999,489650,652225
261,82,428800,524452,419800,585200
262,2,504650,504650,391100,618200
263,30,659400,980530,576325,946025
264,15,693000,1270353,617500,884900
265,39,901900,1190184,596100,1289500
266,35,673800,864114,589500,952200
267,11,717200,805536,583900,836900
268,10,1292300,2075430,905725,2915350
269,9,833000,1087966,729000,1477050
270,20,765750,771025,702375,820075
271,14,748800,731850,652225,794800
272,13,671000,966715,627950,893750
273,61,504800,640677,440900,734100
274,55,697600,848838,596700,910800
275,6,957850,1099116,594450,1424150
276,10,740050,1596890,649775,896300
277,79,192600,372396,166500,631300
278,36,772150,787786,664775,934075
279,10,1140300,1195070,574675,1573675
280,49,645100,969169,510500,813550
281,103,249400,453679,205800,502700
282,26,133200,1015096,119300,704975
283,1,20223300,20223300,20223300,20223300
284,46,189100,519419,148200,594550
285,23,592500,570039,302400,674300
286,11,871600,1119545,646500,1350900
287,15,285200,458960,179400,990000
