block,block_raw,n_sales,years,est_score,est_rank,cagr,med_psf,med_dom,med_stl,est_s_cagr,est_s_dom,est_s_stl,est_s_assess,est_s_inv,emg_score,emg_rank,med_psf_recent,med_psf_prior,acceleration,underval_pct,dom_recent,dom_prior,stl_recent,n_recent,emg_s_underval,emg_s_accel,emg_s_dom_tight,emg_s_demand,neighborhood_demand,median_income,vacancy_rate_pct,renter_rate_pct,acs_year
complex_HENLEYONHUDSON,HENLEYONHUDSON,5.0,2023-2025,69.6,2.0,14.58,1054.0,18.0,0.9904,80.4,94.6,55.4,,33.9,,,,,,,,,,0,,,,,,,,,
block_29_PALISADE,29_PALISADE,8.0,2022-2024,63.8,6.0,-0.46,593.0,27.5,0.9974,19.6,98.2,69.6,,98.2,,,,,,,,,,0,,,,,,,,,
block_45_HENLEY,45_HENLEY,5.0,2022-2024,49.3,15.0,8.01,880.0,19.0,0.9735,62.5,73.2,30.4,,16.1,32.7,11,880.0,773.0,13.9,-43.9,,25.0,,0,11.5,50.0,,38.5,,,,,
block_53_BLVD,53_BLVD,11.0,2022-2025,52.2,12.0,6.87,339.0,59.0,0.9773,58.9,83.9,37.5,,16.1,,,,,,,,,,0,,,,,,,,,
block_30_HACKENSACK,30_HACKENSACK,9.0,2022-2026,48.1,17.0,3.27,570.0,13.0,0.9956,41.1,12.5,62.5,56.2,82.1,66.7,3,580.0,474.0,22.5,5.1,41.0,10.5,0.9956,3,80.8,73.1,4.5,73.1,,,,,
complex_AVENUECOLLECTION,AVENUECOLLECTION,7.0,2022-2025,35.4,25.0,6.86,1213.0,104.0,0.9359,55.4,37.5,1.8,,37.5,,,,,,,,,,0,,,,,,,,,
block_45 01_HENLEY,45 01_HENLEY,7.0,2022-2023,57.7,9.0,25.19,1225.0,58.0,0.9714,94.6,26.8,26.8,,66.1,,,,,,,,,,0,,,,,,,,,
block_6401_AVENUE,6401_AVENUE,6.0,2022-2025,49.6,14.0,-0.28,873.0,23.5,0.9704,23.2,91.1,23.2,,82.1,,,,,,,,,,0,,,,,,,,,
complex_RIVAPOINTE,RIVAPOINTE,7.0,2022-2025,68.0,3.0,8.03,817.0,29.0,1.0,66.1,62.5,85.7,,55.4,,,,,,,,,,0,,,,,,,,,
block_26_GREGORY,26_GREGORY,55.0,2022-2026,51.3,13.0,5.18,532.0,28.0,0.9808,44.6,44.6,41.1,68.8,69.6,64.5,4,439.0,436.0,0.6,28.3,24.5,28.0,0.9835,8,88.5,11.5,59.1,88.5,,,,,
complex_AVORA,AVORA,6.0,2022-2024,41.5,21.0,11.87,1054.0,97.5,0.9643,76.8,69.6,12.5,6.2,7.1,,,,,,,,,,0,,,,,,,,,
block_34 0003_HARBOR,34 0003_HARBOR,8.0,2022-2024,48.7,16.0,-1.6,630.0,50.5,1.001,16.1,23.2,98.2,,82.1,,,,,,,,,,0,,,,,,,,,
block_45.01,45.01,5.0,2024-2025,19.4,28.0,-8.1,839.0,10.0,0.9971,1.8,1.8,66.1,,16.1,,,,,,,,,,0,,,,,,,,,
block_34 03_HARBOR,34 03_HARBOR,20.0,2022-2025,66.2,4.0,9.46,750.0,13.5,1.0,73.2,51.8,85.7,81.2,30.4,55.4,6,750.0,634.0,18.3,-22.7,13.0,13.5,1.0275,3,50.0,57.7,50.0,65.4,,,,,
block_34.03_HARBOR,34.03_HARBOR,11.0,2022-2026,54.3,10.0,2.37,636.0,19.0,1.0,37.5,33.9,85.7,,73.2,39.9,9,636.0,578.0,10.0,-4.0,43.0,19.0,0.981,1,73.1,42.3,22.7,3.8,,,,,
block_16_PARK,16_PARK,5.0,2022-2023,58.7,8.0,28.57,603.0,14.0,0.9882,98.2,8.9,51.8,,55.4,,,,,,,,,,0,,,,,,,,,
block_56_BLVD,56_BLVD,12.0,2022-2025,85.2,1.0,15.78,593.0,47.0,1.0,87.5,76.8,85.7,,91.1,,,,,,,,,,0,,,,,,,,,
block_45.01_CAMBRIDGE,45.01_CAMBRIDGE,8.0,2023-2025,52.9,11.0,-0.13,683.0,26.0,1.0,26.8,80.4,85.7,,25.0,44.2,8,683.0,657.0,3.8,-11.6,21.0,52.0,0.9815,1,57.7,19.2,86.4,19.2,,,,,
block_34_HARBOR,34_HARBOR,7.0,2021-2024,62.8,7.0,15.46,762.0,25.0,0.9862,83.9,87.5,48.2,,7.1,58.7,5,762.0,495.0,53.9,-24.5,,62.5,,0,42.3,88.5,,38.5,,,,,
block_64.01_AVENUE,64.01_AVENUE,68.0,2022-2026,31.8,26.0,1.53,876.0,36.5,0.9628,30.4,19.6,8.9,18.8,94.6,32.5,12,878.0,817.0,7.6,-43.6,51.5,30.0,0.9635,10,19.2,34.6,31.8,50.0,,,,,
zip_07086,07086,60.0,2022-2026,64.2,5.0,18.76,1022.0,21.0,0.9946,91.1,55.4,58.9,31.2,62.5,47.8,7,913.0,523.0,74.6,-49.2,14.5,29.0,0.9822,10,3.8,96.2,77.3,11.5,,,,,
block_65_51ST,65_51ST,12.0,2022-2025,47.9,18.0,6.09,470.0,38.0,0.9754,51.8,30.4,33.9,,82.1,,,,,,,,,,0,,,,,,,,,
block_64 01_AVENUE,64 01_AVENUE,17.0,2022-2026,23.4,27.0,-2.0,837.0,37.0,0.9673,12.5,16.1,16.1,43.8,44.6,23.5,13,837.0,868.0,-3.6,-36.8,70.0,27.0,0.9673,3,26.9,3.8,13.6,57.7,,,,,
block_65_BLVD,65_BLVD,6.0,2022-2025,37.3,23.0,-4.0,372.0,33.0,0.9975,5.4,41.1,73.2,,48.2,,,,,,,,,,0,,,,,,,,,
block_64_AVENUE,64_AVENUE,11.0,2022-2025,36.7,24.0,2.19,834.0,17.0,0.9842,33.9,58.9,44.6,,1.8,37.5,10,834.0,782.0,6.7,-36.4,56.5,93.0,0.9669,2,34.6,26.9,68.2,26.9,,,,,
block_46_PARK,46_PARK,14.0,2022-2025,46.1,19.0,-2.28,323.0,29.0,1.0,8.9,66.1,85.7,,41.1,91.8,1,371.0,313.0,18.7,39.3,12.5,48.0,1.0308,2,96.2,65.4,95.5,96.2,,,,,
block_9,9,5.0,2022-2024,45.4,20.0,8.06,525.0,25.0,0.9599,69.6,5.4,5.4,93.8,55.4,,,,,,,,,,0,,,,,,,,,
block_60_BLVD,60_BLVD,7.0,2022-2026,37.4,22.0,6.02,796.0,30.0,0.9675,48.2,48.2,19.6,,25.0,68.2,2,662.0,529.0,25.2,-8.2,54.0,46.5,0.9675,3,65.4,80.8,40.9,80.8,,,,,
